<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,D,200103,000000,259.1,261.9,257.77,259,34326290
GAZP,D,200106,000000,258.91,258.96,254.8,256.55,28106710
GAZP,D,200108,000000,256.25,257.32,254.77,255.79,25566970
GAZP,D,200109,000000,255.66,256.68,251.82,254.07,33194830
GAZP,D,200110,000000,253.99,254.6,251.2,251.9,28545590
GAZP,D,200113,000000,252.5,252.5,248.4,251.5,41334580
GAZP,D,200114,000000,252,253.2,249,250,32866650
GAZP,D,200115,000000,249.5,252.5,247.75,251.3,43936180
GAZP,D,200116,000000,251.87,254.54,251.5,254.26,38394410
GAZP,D,200117,000000,254.76,256.6,253.8,255.39,42028610
GAZP,D,200120,000000,255.65,256.1,253.01,253.5,29957470
GAZP,D,200121,000000,253.37,253.4,250.88,252.99,26873610
GAZP,D,200122,000000,252.81,253.39,248.1,248.1,38825260
GAZP,D,200123,000000,246.9,247.66,239.01,239.3,73654660
GAZP,D,200124,000000,240.12,243.25,235.28,237.95,68994040
GAZP,D,200127,000000,235.01,235.4,229.65,230.96,104948220
GAZP,D,200128,000000,232.61,237.59,229,235,85405890
GAZP,D,200129,000000,236.9,237.36,231.3,232,52589600
GAZP,D,200130,000000,230.7,232.49,229.45,231.53,41451560
GAZP,D,200131,000000,232.53,233.79,226.57,226.7,70264920
GAZP,D,200203,000000,223.81,229.98,223.8,227.64,53572940
GAZP,D,200204,000000,228.47,231.08,226.65,230.5,45301220
GAZP,D,200205,000000,230.89,235.73,228.8,232.56,61685530
GAZP,D,200206,000000,234.04,236,230.15,231.38,42561470
GAZP,D,200207,000000,232.38,233.39,227.14,229.11,49649900
GAZP,D,200210,000000,228.58,229.75,224.41,225.2,50466570
GAZP,D,200211,000000,226.56,236.18,226.01,233.9,95547840
GAZP,D,200212,000000,235.2,239.8,234.56,238.03,83138320
GAZP,D,200213,000000,236.9,237.98,233.55,233.55,41949600
GAZP,D,200214,000000,233.79,235.4,230.91,232.5,34339380
GAZP,D,200217,000000,233.4,234.56,231.91,233.75,20525270
GAZP,D,200218,000000,232.97,233.28,229.8,230.5,30822280
GAZP,D,200219,000000,231.84,233.5,230.71,231.9,24383830
GAZP,D,200220,000000,232.55,235.75,232,234.6,33547100
GAZP,D,200221,000000,233.2,233.77,231.61,232,29613730
GAZP,D,200225,000000,227.99,230.06,224.68,224.68,51889790
GAZP,D,200226,000000,223.32,225.47,220.81,224.76,63577060
GAZP,D,200227,000000,220.99,223.4,216.8,217.5,82610580
GAZP,D,200228,000000,210,211.97,200.57,202.65,168877890
GAZP,D,200302,000000,207.99,211.99,195.51,198.78,151413660
GAZP,D,200303,000000,204.78,205.27,198,201.48,104199970
GAZP,D,200304,000000,199.9,204.42,198.28,200,78621910
GAZP,D,200305,000000,203,203.43,197.5,198,65760320
GAZP,D,200306,000000,193.49,194.23,185.13,188.27,131420850
GAZP,D,200310,000000,169.45,185.84,161.01,171,203245560
GAZP,D,200311,000000,173.98,175.87,167.39,172.03,108371760
GAZP,D,200312,000000,163.4,167.8,161.2,163.73,150756610
GAZP,D,200313,000000,164.08,175.69,164.02,166.1,142833320
GAZP,D,200316,000000,163.56,169.99,158.17,168.07,115641980
GAZP,D,200317,000000,168.96,175.5,164.56,167,108041540
GAZP,D,200318,000000,164.9,170.45,162,166.34,105950660
GAZP,D,200319,000000,168.77,175.2,164.05,174.56,121970230
GAZP,D,200320,000000,179.98,184.69,176.1,176.26,139598470
GAZP,D,200323,000000,171.03,172.28,168.04,168.35,108969290
GAZP,D,200324,000000,174.36,179.99,172.61,177.95,89246570
GAZP,D,200325,000000,182.8,186.9,175.26,180.2,114425820
GAZP,D,200326,000000,179.45,184.9,177.28,181.5,53884430
GAZP,D,200327,000000,181.2,181.37,172,174.5,55565750
GAZP,D,200330,000000,171.99,177.63,170.5,176.44,47795640
GAZP,D,200331,000000,178.5,184.64,178.01,181.41,69708850
GAZP,D,200401,000000,178.05,181.38,177.5,180.06,40356500
GAZP,D,200402,000000,183.8,190,180.25,187.04,87685660
GAZP,D,200403,000000,187.03,193.85,185.72,189.77,92292440
GAZP,D,200406,000000,192.25,193.44,189.44,191.1,62810660
GAZP,D,200407,000000,192.72,195.13,189.8,191.22,66726560
GAZP,D,200408,000000,189.75,194.11,188.1,194.11,49196260
GAZP,D,200409,000000,195.69,196.26,189.88,193.86,84196490
GAZP,D,200410,000000,191.86,192.44,190.51,192,16941950
GAZP,D,200413,000000,192.25,192.36,186.07,188.07,28468270
GAZP,D,200414,000000,189.57,191.76,188.3,190.11,50604120
GAZP,D,200415,000000,189.16,189.48,182.56,184.25,53684360
GAZP,D,200416,000000,185.15,189.16,182.75,184.3,56338120
GAZP,D,200417,000000,187.07,187.87,183.54,184.68,38709150
GAZP,D,200420,000000,184.11,186.25,183,185.51,34244800
GAZP,D,200421,000000,183.17,184.5,179.05,181.92,66847460
GAZP,D,200422,000000,181.09,188.55,180.33,188.36,48244280
GAZP,D,200423,000000,189.98,191.59,187.5,188.73,39797620
GAZP,D,200424,000000,187.94,187.95,185.1,185.71,36685880
GAZP,D,200427,000000,186.53,188.47,185.69,186.29,23536090
GAZP,D,200428,000000,185.93,190.65,185.76,188.5,44154560
GAZP,D,200429,000000,189.78,195.23,188.53,193.87,56201200
GAZP,D,200430,000000,195.44,196.2,189.62,190,72061970
GAZP,D,200504,000000,188,188.17,184.52,185.7,42833330
GAZP,D,200505,000000,188.39,190.39,187.3,190,39562120
GAZP,D,200506,000000,190.53,191.05,187.05,187.05,46377880
GAZP,D,200507,000000,187.52,190.3,185.5,185.85,67256130
GAZP,D,200508,000000,186.34,186.64,183.1,185.34,60934480
GAZP,D,200512,000000,184.88,187.2,183.2,186.17,49892900
GAZP,D,200513,000000,185.55,185.55,183.8,184.2,33177080
GAZP,D,200514,000000,183.27,184.85,181.68,183.91,49343510
GAZP,D,200515,000000,185.62,186.98,183.85,183.85,47863870
GAZP,D,200518,000000,185.4,192.5,185.14,192.5,60009590
GAZP,D,200519,000000,193,194.39,191.1,194.2,60258130
GAZP,D,200520,000000,193.57,197.27,192.79,196.74,73790890
GAZP,D,200521,000000,196.1,199.26,191.4,194.74,90059720
GAZP,D,200522,000000,194,195.76,192.21,194.35,42278710
GAZP,D,200525,000000,195.21,197.55,195.11,197.55,20030490
GAZP,D,200526,000000,198.8,202.3,196.3,196.86,65940550
GAZP,D,200527,000000,196.1,197.75,193.15,194.73,55228910
GAZP,D,200528,000000,194.4,196.98,194.17,196.86,39920270
GAZP,D,200529,000000,196.25,199.95,193.2,199.95,172617900
GAZP,D,200601,000000,200.25,202.47,197.15,198.72,54163710
GAZP,D,200602,000000,199.48,202.19,198.72,201.97,45255750
GAZP,D,200603,000000,203.1,208.15,202.01,208,65058830
GAZP,D,200604,000000,207.99,207.99,200.6,201.46,72176320
GAZP,D,200605,000000,202.56,204.84,201.51,203.05,44798190
GAZP,D,200608,000000,204.95,206.5,202.97,204.91,40076610
GAZP,D,200609,000000,205.41,206.1,201.57,204.84,35361030
GAZP,D,200610,000000,204.88,205.27,200.53,201.75,41510100
GAZP,D,200611,000000,200.19,200.19,195.15,196.74,48834830
GAZP,D,200615,000000,193.85,196.15,191,194.2,54158910
GAZP,D,200616,000000,196.06,199.59,195.2,196.59,43322650
GAZP,D,200617,000000,197.72,199.08,195.21,195.86,34389160
GAZP,D,200618,000000,195.44,195.57,191.85,193,45807200
GAZP,D,200619,000000,194.17,196.07,193.82,195.81,45158120
GAZP,D,200622,000000,195.35,195.35,192.62,194.3,36763320
GAZP,D,200623,000000,194.78,196.32,194,194.83,33800940
GAZP,D,200625,000000,191.8,192.48,190.55,192.25,48747730
GAZP,D,200626,000000,192.8,195.69,190.51,193,60289440
GAZP,D,200629,000000,192.67,198.1,192.58,197.94,45797120
GAZP,D,200630,000000,197.9,198.48,193.24,194.31,52228420
GAZP,D,200702,000000,195.31,195.84,194.4,195.28,34114100
GAZP,D,200703,000000,195.65,197.48,194.77,197.2,26423160
GAZP,D,200706,000000,199.21,201.75,198.53,199.99,46417970
GAZP,D,200707,000000,199.7,199.94,197.75,197.96,35182460
GAZP,D,200708,000000,198,201.19,197.55,201.17,30730070
GAZP,D,200709,000000,201.48,202,198.4,199.44,40355340
GAZP,D,200710,000000,198.25,201.7,197.22,200.94,39028520
GAZP,D,200713,000000,201.6,202.33,195.5,195.7,62999870
GAZP,D,200714,000000,195.09,196.65,192.48,193.6,83060710
GAZP,D,200715,000000,180.6,184.27,179.8,182.26,73463320
GAZP,D,200716,000000,181.2,183.8,181.07,183.32,29409000
GAZP,D,200717,000000,183.8,184.93,182.87,184.65,25471860
GAZP,D,200720,000000,184.67,188.41,183.88,188.36,30010590
GAZP,D,200721,000000,188.99,189.77,186.25,186.78,44388320
GAZP,D,200722,000000,187.03,188.59,186.07,187.15,22767680
GAZP,D,200723,000000,187.5,188.3,184.4,184.69,29769530
GAZP,D,200724,000000,184.83,186.45,184.12,185.45,30313190
GAZP,D,200727,000000,185.6,185.92,184.2,185.03,22734510
GAZP,D,200728,000000,185.13,185.46,183.6,184.3,26633740
GAZP,D,200729,000000,184.5,185.35,183.42,184.69,27882380
GAZP,D,200730,000000,184.44,184.73,180.91,182.52,34011750
GAZP,D,200731,000000,182.6,184.84,181.61,182.59,44920000
GAZP,D,200803,000000,182.51,184.03,181.72,183.6,28651930
GAZP,D,200804,000000,184.06,184.68,182.17,183.31,32428960
GAZP,D,200805,000000,183.52,189.98,183.35,189.15,75423620
GAZP,D,200806,000000,189.56,189.92,187.13,189.07,42849450
GAZP,D,200807,000000,188.44,188.57,185.81,187.23,28808600
GAZP,D,200810,000000,187.49,188.85,186.83,187.7,24226570
GAZP,D,200811,000000,187.88,192.4,187.88,189.7,51902080
GAZP,D,200812,000000,190.47,193.29,189.32,192.8,35583620
GAZP,D,200813,000000,192.5,194.44,191.25,193.76,37819700
GAZP,D,200814,000000,194.25,194.25,190.71,192.83,29780320
GAZP,D,200817,000000,193.84,194.68,189.2,190.47,55677760
GAZP,D,200818,000000,190.07,191.95,189.25,190.3,27776390
GAZP,D,200819,000000,190.5,191.99,189,189.26,31452990
GAZP,D,200820,000000,188.8,188.94,185.58,186.95,37649810
GAZP,D,200821,000000,187.25,187.79,183.5,184.51,33830700
GAZP,D,200824,000000,185.37,187.44,184.84,187.1,24264740
GAZP,D,200825,000000,187.45,187.99,184.73,186.25,19552010
GAZP,D,200826,000000,186.22,188,185,187.48,25456340
GAZP,D,200827,000000,187.5,188.01,182.62,184.58,38183770
GAZP,D,200828,000000,184.96,185.22,182.48,182.9,34291080
GAZP,D,200831,000000,183.12,184.28,180.51,181.01,47459530
GAZP,D,200901,000000,181.4,184.87,181.01,184.22,48007480
GAZP,D,200902,000000,184.8,186.29,181.1,181.95,50239120
GAZP,D,200903,000000,182.4,182.59,178.6,179.13,62908720
GAZP,D,200904,000000,178.98,180.56,178,179.55,43008870
GAZP,D,200907,000000,178.82,179.75,175.94,177.04,38983590
GAZP,D,200908,000000,177,177.43,172.4,172.95,63837660
GAZP,D,200909,000000,172.78,175.35,172.33,173.69,41967040
GAZP,D,200910,000000,173.8,174.64,171.11,173.8,34012170
GAZP,D,200911,000000,174.33,178.27,173.1,178.05,36889720
GAZP,D,200914,000000,178.45,180.8,177.52,178.19,37563920
GAZP,D,200915,000000,178.13,182.95,178.01,182.22,42445100
GAZP,D,200916,000000,182.69,184.16,181.35,183.26,37370250
GAZP,D,200917,000000,181.78,184.84,180.34,183.9,49663210
GAZP,D,200918,000000,184.4,184.7,181.34,181.52,45215700
GAZP,D,200921,000000,181.36,181.36,175.36,177.17,41282960
GAZP,D,200922,000000,176.58,180.9,176.42,179,36380350
GAZP,D,200923,000000,179.81,180.37,176.81,177,31848780
GAZP,D,200924,000000,176,178.49,171.9,174.23,49687540
GAZP,D,200925,000000,175.12,175.17,169.6,173.77,96284070
GAZP,D,200928,000000,174.24,175.38,171.29,172.74,50397970
GAZP,D,200929,000000,172.76,173.47,170,171.44,48779600
GAZP,D,200930,000000,171.02,171.98,169.8,169.97,48605100
GAZP,D,201001,000000,171.18,171.4,167.97,168.4,60296370
GAZP,D,201002,000000,167.5,169.95,167.22,169.47,40191130
GAZP,D,201005,000000,170.12,170.88,168.58,170.64,37393020
GAZP,D,201006,000000,170.7,173.41,170.5,171.35,64082980
GAZP,D,201007,000000,171.75,172.26,167.04,168.23,65800100
GAZP,D,201008,000000,168.18,168.86,166.15,167.43,36621350
GAZP,D,201009,000000,167.8,168.19,165.77,166.97,41514910
GAZP,D,201012,000000,167.66,169.8,166.87,169.05,38899590
GAZP,D,201013,000000,169.13,169.47,165.82,166.37,34687990
GAZP,D,201014,000000,166.61,167.63,165.71,167.24,26679740
GAZP,D,201015,000000,166.85,168.85,166,167.16,39889410
GAZP,D,201016,000000,167.22,167.25,163.56,163.98,50402810
GAZP,D,201019,000000,164.76,165.6,163,163.6,33916860
GAZP,D,201020,000000,163.74,167.12,162.8,166.53,50468030
GAZP,D,201021,000000,166.8,167.3,163.87,164.37,36678920
GAZP,D,201022,000000,163.85,166.53,163.66,165.27,39939480
GAZP,D,201023,000000,165.15,165.88,164.39,164.96,32909950
GAZP,D,201026,000000,164.44,164.96,161.1,162.17,53436340
GAZP,D,201027,000000,162.18,162.62,158.21,159.21,58268970
GAZP,D,201028,000000,158.98,158.99,153.7,154.3,86858100
GAZP,D,201029,000000,155.08,157.3,154.2,156.74,52752800
GAZP,D,201030,000000,155.09,156.2,154.08,154.28,42661020
GAZP,D,201102,000000,153.96,157.98,151.9,157.74,69600850
GAZP,D,201103,000000,158.21,161.92,157.44,161.09,71067000
GAZP,D,201105,000000,163.81,165.25,161.99,163.7,73016160
GAZP,D,201106,000000,163,165.84,161.52,164.92,51633910
GAZP,D,201109,000000,166.72,171.5,164.9,170.13,103358560
GAZP,D,201110,000000,169.03,173.64,167.63,172.92,76531040
GAZP,D,201111,000000,173.5,175.15,170.26,170.53,72020230
GAZP,D,201112,000000,170.2,175.3,169.75,172.91,71917150
GAZP,D,201113,000000,172.88,181.27,172.42,180.3,104602920
GAZP,D,201116,000000,181.02,185.62,180.3,185.32,89217810
GAZP,D,201117,000000,185.1,185.31,178.83,182.9,99307240
GAZP,D,201118,000000,182.26,187.69,180.8,185,69101570
GAZP,D,201119,000000,185.2,185.88,181.92,184.16,53164780
GAZP,D,201120,000000,184.1,184.36,182.1,183.21,31836360
GAZP,D,201123,000000,183.64,185.63,182.77,184.15,41043100
GAZP,D,201124,000000,185.03,187.3,183.97,186.76,60674430
GAZP,D,201125,000000,187.01,188.76,185.85,188.03,51107720
GAZP,D,201126,000000,188.25,189.1,184.6,185.52,45706250
GAZP,D,201127,000000,185.13,186.75,182.56,185.9,49983540
GAZP,D,201130,000000,185.1,185.14,180.04,181.89,73156960
GAZP,D,201201,000000,182.6,188.09,181.78,185.34,67193810
GAZP,D,201202,000000,185,187.24,183.12,187.22,40191320
GAZP,D,201203,000000,186.98,187.58,184.37,185.12,35885290
GAZP,D,201204,000000,186.2,189.42,185.85,188.79,50684840
GAZP,D,201207,000000,188.22,192.85,187.8,190.76,53512780
GAZP,D,201208,000000,190.34,191.45,187.8,190,48382270
GAZP,D,201209,000000,190.3,193.09,189.05,189.35,52678040
GAZP,D,201210,000000,189.55,193.51,188.67,192.95,54318200
GAZP,D,201211,000000,193.05,201.63,192.31,201.5,103060380
GAZP,D,201214,000000,203.5,207.85,198.78,199.91,122788480
GAZP,D,201215,000000,199.01,202.29,197.05,201,65473740
GAZP,D,201216,000000,201.01,206.2,199.54,206.2,75214780
GAZP,D,201217,000000,206.7,215.38,206.51,214.52,159538150
GAZP,D,201218,000000,214,214.5,207.22,212.69,133717910
GAZP,D,201221,000000,209.91,209.99,200.8,203.46,123517830
GAZP,D,201222,000000,200.74,210.68,199.19,208.4,109794540
GAZP,D,201223,000000,209,212.78,206.2,207.63,78877050
GAZP,D,201224,000000,208.54,209.96,203.15,206.24,59081790
GAZP,D,201225,000000,206.2,206.73,204.01,205.03,16517780
GAZP,D,201228,000000,205.53,207.86,205.15,206.11,35038710
GAZP,D,201229,000000,206.95,210,206.61,208.75,42353620
GAZP,D,201230,000000,209.88,213.38,209.5,212.98,74667210
GAZP,D,210104,000000,212.71,216.63,211.64,212.71,55195430
GAZP,D,210105,000000,213.2,215.38,210.22,215.32,48913740
GAZP,D,210106,000000,215.48,216.8,213.07,214.38,47897590
GAZP,D,210108,000000,217.14,226.24,217,225.49,100717800
GAZP,D,210111,000000,225.05,231,221.81,227.6,112506470
GAZP,D,210112,000000,229,231.44,225.66,228.69,64309460
GAZP,D,210113,000000,229.29,230.35,225.2,226.8,61102300
GAZP,D,210114,000000,226.49,229.57,223.2,228.86,60003270
GAZP,D,210115,000000,227.5,230.7,226,226.5,54765970
GAZP,D,210118,000000,225.55,228.5,221.34,226.88,69147920
GAZP,D,210119,000000,227.66,228.85,223,223.15,66619900
GAZP,D,210120,000000,223,225.78,221.55,224.3,51248650
GAZP,D,210121,000000,224.4,224.96,217.22,217.28,76701270
GAZP,D,210122,000000,216.45,216.5,210.5,215.49,94721320
GAZP,D,210125,000000,216.9,219.66,214.53,218.68,74456540
GAZP,D,210126,000000,216.8,220.29,215.71,218.8,45114650
GAZP,D,210127,000000,219.49,222,216.44,217.4,59271760
GAZP,D,210128,000000,215.91,219.49,214.26,217.7,52341000
GAZP,D,210129,000000,216.75,216.75,212.47,212.83,66744580
GAZP,D,210201,000000,214.61,214.87,212.24,214.66,39314420
GAZP,D,210202,000000,215.5,219.74,213.25,214.42,77924880
GAZP,D,210203,000000,215.41,218.42,213.79,218.1,45974890
GAZP,D,210204,000000,218.71,221.4,216.88,219.79,47881150
GAZP,D,210205,000000,220.68,222.21,219,222.01,42127830
GAZP,D,210208,000000,223.06,228,223,228,67144040
GAZP,D,210209,000000,229,229.49,225.8,227.73,60518190
GAZP,D,210210,000000,227.98,228.29,221.8,223.24,41883700
GAZP,D,210211,000000,223.45,223.67,220.73,221.35,34480880
GAZP,D,210212,000000,220.78,227.47,216.77,226.71,69179250
GAZP,D,210215,000000,228.49,230,226.7,229.22,59793600
GAZP,D,210216,000000,229.95,233.22,227.57,232.46,85667580
GAZP,D,210217,000000,232.32,233.35,225.33,229.14,64532970
GAZP,D,210218,000000,228.98,228.98,224.01,224.47,43762150
GAZP,D,210219,000000,224.02,226.26,221.1,226,44854360
GAZP,D,210220,000000,226.35,227.1,225,225.84,6053880
GAZP,D,210222,000000,226.49,227.3,223.04,225.63,31412770
GAZP,D,210224,000000,224.42,225.64,220.85,222.55,40792480
GAZP,D,210225,000000,223.47,225.5,221.22,221.7,42722110
GAZP,D,210226,000000,220.56,221.68,217.2,217.56,63735100
GAZP,D,210301,000000,219.34,222.01,218.25,221.47,28373590
GAZP,D,210302,000000,220,224.11,219.76,222.74,34140160
GAZP,D,210303,000000,224.2,226.79,221.7,222.15,33225100
GAZP,D,210304,000000,221.88,226.69,219.5,221.14,46417010
GAZP,D,210305,000000,222.05,228.42,220.02,227,55786000
GAZP,D,210309,000000,227.51,233.07,226.05,232.1,73759850
GAZP,D,210310,000000,231.83,235.5,230.66,231.69,55372950
GAZP,D,210311,000000,232.83,233.53,230.07,232.47,32131810
GAZP,D,210312,000000,232.01,234.39,230.6,233.8,28819550
GAZP,D,210315,000000,234.98,238.09,234.46,237.79,46121290
GAZP,D,210316,000000,237.3,238.23,233.8,234.02,38029020
GAZP,D,210317,000000,234,234.56,227.21,229.9,62072590
GAZP,D,210318,000000,230.05,231.79,223.7,224.35,67581990
GAZP,D,210319,000000,223.05,226.64,222.37,225.4,58484100
GAZP,D,210322,000000,225.14,225.34,220.79,221.88,58491290
GAZP,D,210323,000000,221.35,224.44,219.81,221.62,43094210
GAZP,D,210324,000000,222.39,225.45,220.53,223.65,36700010
GAZP,D,210325,000000,224.2,225.38,222.7,224.84,29735720
GAZP,D,210326,000000,225.74,227.6,225.13,227.3,26672930
GAZP,D,210329,000000,226.79,229.15,226.31,228.74,23752090
GAZP,D,210330,000000,228.95,230.1,225.04,225.93,26818410
GAZP,D,210331,000000,226.4,228.4,223.32,227.24,38847380
GAZP,D,210401,000000,228.43,231.67,225.75,226.94,43823600
GAZP,D,210402,000000,227,229.2,226.54,228.4,12621010
GAZP,D,210405,000000,227.9,227.92,224.13,225.06,23919530
GAZP,D,210406,000000,226.01,226.55,221.91,222.95,36223380
GAZP,D,210407,000000,222.31,226.01,220.68,224.51,29483660
GAZP,D,210408,000000,224.84,226.3,222.88,224.3,19420190
GAZP,D,210409,000000,224.17,224.3,221.48,222.15,20902100
GAZP,D,210412,000000,220.95,224.25,219.6,222.87,29206290
GAZP,D,210413,000000,223.02,228.33,221.1,227.99,39063400
GAZP,D,210414,000000,230.58,236.58,229.31,235.32,91895500
