<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
LKOH,D,200103,000000,6203.5,6294,6185,6294,791658
LKOH,D,200106,000000,6300,6382,6284.5,6382,751576
LKOH,D,200108,000000,6401,6513,6350.5,6496.5,974042
LKOH,D,200109,000000,6450,6523.5,6393.5,6430,876659
LKOH,D,200110,000000,6432.5,6505,6395,6490,497687
LKOH,D,200113,000000,6495,6541.5,6465,6530,577701
LKOH,D,200114,000000,6544.5,6566.5,6459.5,6520.5,718439
LKOH,D,200115,000000,6515.5,6574,6480,6552.5,1053251
LKOH,D,200116,000000,6558,6596,6542,6590,1019894
LKOH,D,200117,000000,6589.5,6714.5,6581,6685,1209611
LKOH,D,200120,000000,6700,6770,6684.5,6717,446394
LKOH,D,200121,000000,6689,6716,6611,6708.5,548342
LKOH,D,200122,000000,6713.5,6810,6655.5,6655.5,867837
LKOH,D,200123,000000,6619.5,6633.5,6536.5,6590,1217162
LKOH,D,200124,000000,6608,6650,6592.5,6620,506775
LKOH,D,200127,000000,6549.5,6569.5,6413,6545,1073913
LKOH,D,200128,000000,6568,6657,6503.5,6650,769434
LKOH,D,200129,000000,6691,6726,6601.5,6633,944493
LKOH,D,200130,000000,6498.5,6535,6415,6443.5,1580771
LKOH,D,200131,000000,6635,6670,6540.5,6550.5,1742128
LKOH,D,200203,000000,6519.5,6600,6517,6594.5,2671005
LKOH,D,200204,000000,6602,6633,6490,6500,1670313
LKOH,D,200205,000000,6514,6595,6452,6550.5,1105040
LKOH,D,200206,000000,6584.5,6605,6501,6506.5,685669
LKOH,D,200207,000000,6510,6529,6405,6450.5,938705
LKOH,D,200210,000000,6450.5,6451.5,6350,6410,946881
LKOH,D,200211,000000,6420,6441.5,6324.5,6397.5,1291961
LKOH,D,200212,000000,6397,6466,6384.5,6466,948883
LKOH,D,200213,000000,6455,6500,6388,6470.5,711876
LKOH,D,200214,000000,6486,6498,6410,6451,484387
LKOH,D,200217,000000,6439,6483.5,6431,6463,350221
LKOH,D,200218,000000,6441,6442,6350.5,6378.5,713980
LKOH,D,200219,000000,6407.5,6516,6405,6509,636605
LKOH,D,200220,000000,6522,6560,6492.5,6543.5,741043
LKOH,D,200221,000000,6519,6527.5,6450,6450,612319
LKOH,D,200225,000000,6301,6348,6150.5,6165,1427706
LKOH,D,200226,000000,6149,6268,6105.5,6256.5,1645203
LKOH,D,200227,000000,6140,6186,6000,6000,1505993
LKOH,D,200228,000000,5836,5870,5607,5699.5,3124084
LKOH,D,200302,000000,5816,5897.5,5540,5550,2905999
LKOH,D,200303,000000,5700,5900,5661,5782,1946861
LKOH,D,200304,000000,5740.5,5928.5,5701.5,5908.5,1601548
LKOH,D,200305,000000,5978,5996,5830,5862.5,1532273
LKOH,D,200306,000000,5742.5,5775,5534.5,5592,2266208
LKOH,D,200310,000000,5033,5083,4450,4549,7510762
LKOH,D,200311,000000,4652,4988,4520,4908,4810789
LKOH,D,200312,000000,4652.5,4745.5,4487.5,4511.5,3677398
LKOH,D,200313,000000,4505,4760,4414,4414,3663056
LKOH,D,200316,000000,4414,4414,4102,4251,2570452
LKOH,D,200317,000000,4212,4326.5,4030,4168.5,2244460
LKOH,D,200318,000000,4060,4145,3744,3754,3644119
LKOH,D,200319,000000,3834,4484.5,3663,4333,4772557
LKOH,D,200320,000000,4503,4745,4408,4472.5,5008988
LKOH,D,200323,000000,4252.5,4409,4122,4175.5,3405101
LKOH,D,200324,000000,4484,4550,4362.5,4494,2397960
LKOH,D,200325,000000,4596,4725,4400,4590,2898620
LKOH,D,200326,000000,4552,4700,4484.5,4700,1998767
LKOH,D,200327,000000,4699,4745,4401.5,4430,2092818
LKOH,D,200330,000000,4355.5,4459,4313,4459,1720742
LKOH,D,200331,000000,4549,4715,4501,4715,2428925
LKOH,D,200401,000000,4595,4734.5,4564,4674.5,1917101
LKOH,D,200402,000000,4870,5229.5,4787.5,5050,3850927
LKOH,D,200403,000000,5047.5,5364,4927,5204.5,3126770
LKOH,D,200406,000000,5215,5270,5064,5163,2279444
LKOH,D,200407,000000,5260,5260,5052.5,5118,1835405
LKOH,D,200408,000000,5063.5,5175,5036.5,5140,1924196
LKOH,D,200409,000000,5197.5,5275,5052,5201,2291202
LKOH,D,200410,000000,5120,5139.5,5064,5130,709604
LKOH,D,200413,000000,5117.5,5125,4933,5040,939770
LKOH,D,200414,000000,5087.5,5119.5,4825,4844,2048920
LKOH,D,200415,000000,4799,4799,4453,4484,2648878
LKOH,D,200416,000000,4502,4631,4365,4561.5,3413601
LKOH,D,200417,000000,4696.5,4697,4545,4620,1676884
LKOH,D,200420,000000,4559.5,4637,4455,4522.5,1899435
LKOH,D,200421,000000,4402,4533.5,4281,4475,3797054
LKOH,D,200422,000000,4420,4810.5,4385.5,4810.5,3438361
LKOH,D,200423,000000,4895,4979.5,4730,4902.5,2558736
LKOH,D,200424,000000,4875,4876,4720,4745.5,1841886
LKOH,D,200427,000000,4745,4790,4620,4650,1682738
LKOH,D,200428,000000,4624,4808,4621,4738.5,2735193
LKOH,D,200429,000000,4779,4940,4750,4897,2888095
LKOH,D,200430,000000,4941,5040,4816.5,4826.5,3030267
LKOH,D,200504,000000,4787,4909.5,4751.5,4848.5,1257504
LKOH,D,200505,000000,4950,4985,4880,4975,1426167
LKOH,D,200506,000000,5000,5014.5,4825,4857.5,1864425
LKOH,D,200507,000000,4864.5,4950,4825,4839,1713193
LKOH,D,200508,000000,4864,4879,4733,4832,1617310
LKOH,D,200512,000000,4845,4928,4824,4897.5,1305808
LKOH,D,200513,000000,4879.5,4896,4815.5,4819,1150878
LKOH,D,200514,000000,4799,4870,4773,4870,1470850
LKOH,D,200515,000000,4933,4968,4874.5,4874.5,1653522
LKOH,D,200518,000000,4972.5,5191.5,4935,5170.5,2510468
LKOH,D,200519,000000,5194,5285,5178.5,5272,2104319
LKOH,D,200520,000000,5275,5471,5238,5450,2240019
LKOH,D,200521,000000,5459,5548,5227,5286,2657882
LKOH,D,200522,000000,5195,5348,5166,5317,1586956
LKOH,D,200525,000000,5346.5,5420,5344,5412.5,615868
LKOH,D,200526,000000,5489.5,5539.5,5435,5445,1602232
LKOH,D,200527,000000,5423.5,5515.5,5285,5352.5,1737876
LKOH,D,200528,000000,5354.5,5484.5,5309,5392,1390600
LKOH,D,200529,000000,5379,5379,5224,5242.5,2451505
LKOH,D,200601,000000,5347.5,5412.5,5269,5318,1307649
LKOH,D,200602,000000,5357,5433,5340,5400,1355948
LKOH,D,200603,000000,5451,5566.5,5424,5549.5,2082046
LKOH,D,200604,000000,5533.5,5553,5430,5430,1479541
LKOH,D,200605,000000,5476,5511.5,5434,5460,1215118
LKOH,D,200608,000000,5489.5,5527.5,5351,5372,1549579
LKOH,D,200609,000000,5401,5428.5,5305.5,5425,1388256
LKOH,D,200610,000000,5410,5432,5314,5342,1520574
LKOH,D,200611,000000,5305,5355.5,5269,5350,1426935
LKOH,D,200615,000000,5224.5,5278,5120,5264,1747549
LKOH,D,200616,000000,5327,5474.5,5310,5392,1600765
LKOH,D,200617,000000,5418,5441.5,5301,5343,1356115
LKOH,D,200618,000000,5325,5376,5290,5347,1228059
LKOH,D,200619,000000,5411,5490,5389,5460,1871263
LKOH,D,200622,000000,5440,5504.5,5392,5469,953142
LKOH,D,200623,000000,5480,5507,5437.5,5452,954915
LKOH,D,200625,000000,5325,5402,5310.5,5394,1546047
LKOH,D,200626,000000,5388,5407,5303,5321.5,766738
LKOH,D,200629,000000,5305.5,5327,5266.5,5315,976164
LKOH,D,200630,000000,5313,5355,5279.5,5313,917857
LKOH,D,200702,000000,5338,5422,5322.5,5416,1035220
LKOH,D,200703,000000,5415.5,5431,5375.5,5416.5,481183
LKOH,D,200706,000000,5452,5512,5450,5483.5,1123512
LKOH,D,200707,000000,5474.5,5492.5,5429.5,5464,1012590
LKOH,D,200708,000000,5465,5479,5405,5457,1424620
LKOH,D,200709,000000,5158,5175,5061,5087,1685549
LKOH,D,200710,000000,5050,5103,5026.5,5098,1014037
LKOH,D,200713,000000,5116,5133.5,4909,4926.5,1215316
LKOH,D,200714,000000,4933,4933,4784,4884,2043410
LKOH,D,200715,000000,4901.5,4997,4865,4949.5,2057627
LKOH,D,200716,000000,4929,4974,4895,4944.5,794217
LKOH,D,200717,000000,4953.5,4972,4911,4946.5,557971
LKOH,D,200720,000000,4944,4970,4910,4937,851859
LKOH,D,200721,000000,4955,5005,4932.5,4953,1542865
LKOH,D,200722,000000,4964.5,5063,4953,5037,1301159
LKOH,D,200723,000000,5060.5,5089.5,4963.5,4974,1035929
LKOH,D,200724,000000,4967.5,5010,4941.5,4987,1136023
LKOH,D,200727,000000,4993,5039,4978,5013.5,961400
LKOH,D,200728,000000,5019.5,5050,4976.5,5023,1101310
