<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
MOEXOG,D,200103,000000,8789.86,8883.83,8788.59,8853.65,22093556077
MOEXOG,D,200106,000000,8872.88,8878.2,8827.28,8875.51,21928498581
MOEXOG,D,200108,000000,8892.73,8995.44,8871.71,8963.74,24509563887
MOEXOG,D,200109,000000,8946.38,9051.84,8913.4,9039.14,24551643568
MOEXOG,D,200110,000000,9023.92,9080.36,8985.64,9037.75,21060352388
MOEXOG,D,200113,000000,9047.19,9075.59,9006.6,9061.6,23499975611
MOEXOG,D,200114,000000,9088.81,9113.04,8976.39,9003.21,23969476385
MOEXOG,D,200115,000000,8962.8,9062.26,8932.63,8991.93,27760295781
MOEXOG,D,200116,000000,9021.98,9061.33,9017.37,9045.27,24519121591
MOEXOG,D,200117,000000,9052.81,9147.05,9044.92,9092.93,29042517405
MOEXOG,D,200120,000000,9127.12,9178.69,9105.52,9118.11,19351237508
MOEXOG,D,200121,000000,9083.79,9089.85,9024.12,9071.23,22293699809
MOEXOG,D,200122,000000,9095.52,9104.61,8894.05,8896.59,33710719747
MOEXOG,D,200123,000000,8841.39,8873.85,8746.97,8768.84,38362593648
MOEXOG,D,200124,000000,8804.69,8841.52,8731.75,8752.39,28039921342
MOEXOG,D,200127,000000,8622.96,8691.05,8561.35,8573.01,41717251483
MOEXOG,D,200128,000000,8623.14,8653.07,8500.52,8644.03,36471588175
MOEXOG,D,200129,000000,8686.35,8732.43,8645.41,8679.48,30256664774
MOEXOG,D,200130,000000,8607.13,8666.67,8598.43,8617.07,32894207748
MOEXOG,D,200131,000000,8694.41,8722.56,8509.71,8509.71,40898361123
MOEXOG,D,200203,000000,8463.6,8515.25,8420.02,8433.51,43121820430
MOEXOG,D,200204,000000,8460.52,8541.55,8389.95,8518.56,38938045462
MOEXOG,D,200205,000000,8528.05,8633.92,8438.87,8541.73,39923045103
MOEXOG,D,200206,000000,8616.5,8628.44,8415.87,8465.52,27158044055
MOEXOG,D,200207,000000,8482.95,8498.71,8279.51,8346.5,35356234515
MOEXOG,D,200210,000000,8341.09,8343.32,8199.29,8231.68,29547072471
MOEXOG,D,200211,000000,8311.36,8383.57,8248.75,8356.07,43703360176
MOEXOG,D,200212,000000,8386.28,8472.63,8379.95,8472.63,41907542308
MOEXOG,D,200213,000000,8449.94,8459.58,8389.65,8425.49,24773131354
MOEXOG,D,200214,000000,8445.2,8467.62,8358.32,8408.06,20200285766
MOEXOG,D,200217,000000,8428.29,8491.25,8414.5,8491.25,15101546106
MOEXOG,D,200218,000000,8469.65,8478.8,8307.63,8343.03,26595981117
MOEXOG,D,200219,000000,8407.57,8491.17,8374.27,8481.11,23319931138
MOEXOG,D,200220,000000,8513.1,8567.8,8496.03,8504.69,24629254235
MOEXOG,D,200221,000000,8445.36,8486.92,8401.34,8401.34,20560993030
MOEXOG,D,200225,000000,8268.79,8301.89,8091.88,8091.88,35261510159
MOEXOG,D,200226,000000,8048.24,8114.25,7945.78,8093.59,44868928127
MOEXOG,D,200227,000000,7954.46,8022.27,7720.65,7730.44,47915992726
MOEXOG,D,200228,000000,7504.49,7509.67,7278.41,7415.55,78567165994
MOEXOG,D,200302,000000,7555.1,7649.92,7263.24,7365.35,63414718127
MOEXOG,D,200303,000000,7561.89,7594.75,7427.06,7513.67,47195585569
MOEXOG,D,200304,000000,7427.27,7595.98,7397.79,7575.91,38902619402
MOEXOG,D,200305,000000,7644,7661.29,7463.74,7509.88,33213745009
MOEXOG,D,200306,000000,7357.14,7421.08,7121.52,7207.13,55870132749
MOEXOG,D,200310,000000,6373.83,6872.19,6251.67,6407.07,116990839012
MOEXOG,D,200311,000000,6517.89,6536.31,6281.53,6389.58,60334360502
MOEXOG,D,200312,000000,6106.36,6186.83,5858.14,5882.72,70689165977
MOEXOG,D,200313,000000,5867.41,6112.78,5766.16,5766.16,67860889444
MOEXOG,D,200316,000000,5655.08,5723.79,5477.94,5679.35,51479011504
MOEXOG,D,200317,000000,5683.01,5793.09,5451.27,5565.36,45363830965
MOEXOG,D,200318,000000,5490.39,5492.32,5182.28,5209.83,51587491531
MOEXOG,D,200319,000000,5297.61,5775.97,5115.7,5743.78,68470709780
MOEXOG,D,200320,000000,5979.5,6169.15,5843.98,5886.92,73233435947
MOEXOG,D,200323,000000,5636.61,5881.13,5587.97,5726.73,55872891741
MOEXOG,D,200324,000000,6087.31,6192.09,5961.48,6135.1,46758100121
MOEXOG,D,200325,000000,6274.6,6421.95,6052.52,6292.39,63453758056
MOEXOG,D,200326,000000,6244.7,6497.35,6146.87,6417.58,44433247440
MOEXOG,D,200327,000000,6425.82,6447.24,6022.59,6136.15,36362082095
MOEXOG,D,200330,000000,6079.3,6194.77,6002.67,6166.82,34660326294
MOEXOG,D,200331,000000,6318.7,6476.58,6262.49,6472.72,47982368221
MOEXOG,D,200401,000000,6318.86,6492.06,6311.32,6442.89,34881619827
MOEXOG,D,200402,000000,6657.83,6863.43,6503.11,6785.32,68004654083
MOEXOG,D,200403,000000,6822.15,7053.35,6768.86,6930.67,66783672888
MOEXOG,D,200406,000000,7028.97,7062.74,6913.44,7009.21,41027928130
MOEXOG,D,200407,000000,7115.01,7151.34,6919.32,6965,46799362835
MOEXOG,D,200408,000000,6908,7036.04,6879.72,7036.04,34742887467
MOEXOG,D,200409,000000,7099.38,7180.06,6939.06,7124.62,53102094643
MOEXOG,D,200410,000000,7001.3,7049.88,6989.55,7045.12,15146060698
MOEXOG,D,200413,000000,7038.68,7045.21,6846.48,6877.88,18979639369
MOEXOG,D,200414,000000,6963.6,6974.79,6721.29,6760.89,33895582921
MOEXOG,D,200415,000000,6694.11,6694.11,6330.19,6373.74,42495302969
MOEXOG,D,200416,000000,6378.89,6532.59,6260.2,6412.68,46918673524
MOEXOG,D,200417,000000,6533.24,6542.51,6440.62,6476.33,28246306512
MOEXOG,D,200420,000000,6446.92,6499.22,6349.32,6384.15,30639589215
MOEXOG,D,200421,000000,6226.75,6320.87,6123.71,6276.21,51363257180
MOEXOG,D,200422,000000,6221.02,6585.71,6221.02,6559.71,47824428323
MOEXOG,D,200423,000000,6652.03,6700.98,6519.12,6648.52,38621454597
MOEXOG,D,200424,000000,6602.3,6612.82,6496.59,6522.07,28014775281
MOEXOG,D,200427,000000,6527.1,6609.06,6476.2,6503.86,22244217901
MOEXOG,D,200428,000000,6515.54,6743.17,6489.32,6642.4,38395058825
MOEXOG,D,200429,000000,6662.43,6833.65,6658.15,6819.67,39735087466
MOEXOG,D,200430,000000,6894.5,6939.54,6689.56,6743.76,45688525750
MOEXOG,D,200504,000000,6631.73,6730.97,6586.84,6682.93,23923083275
MOEXOG,D,200505,000000,6819.33,6842.46,6749.24,6818.02,25683966061
MOEXOG,D,200506,000000,6835.1,6867.64,6696.52,6719.13,34629849685
MOEXOG,D,200507,000000,6711.09,6801.1,6696.09,6710.37,33915566855
MOEXOG,D,200508,000000,6727.4,6759.44,6628.98,6741.76,27154113921
