<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,D,200109,000000,61.3975,61.405,61.1075,61.27,842631000
USD000000TOD,D,200110,000000,61.2,61.3675,61.1375,61.295,738567000
USD000000TOD,D,200113,000000,61.0425,61.355,60.88,61.35,769162000
USD000000TOD,D,200114,000000,61.2925,61.4875,61.22,61.3525,770370000
USD000000TOD,D,200115,000000,61.395,61.8,61.34,61.4125,847319000
USD000000TOD,D,200116,000000,61.41,61.76,61.3725,61.655,917772000
USD000000TOD,D,200117,000000,61.6275,61.6625,61.2625,61.47,763984000
USD000000TOD,D,200121,000000,61.74,61.9625,61.6725,61.85,908578000
USD000000TOD,D,200122,000000,61.8275,62.05,61.7575,61.98,534228000
USD000000TOD,D,200123,000000,62,62.0525,61.825,61.9525,512381000
USD000000TOD,D,200124,000000,61.855,61.8975,61.7025,61.82,573723000
USD000000TOD,D,200127,000000,62.33,62.8175,62.1775,62.78,1076182000
USD000000TOD,D,200128,000000,62.845,63.1325,62.52,62.6025,631112000
USD000000TOD,D,200129,000000,62.32,62.7925,62.2725,62.64,667488000
USD000000TOD,D,200130,000000,62.83,63.31,62.82,63.2125,1079710000
USD000000TOD,D,200131,000000,63.2025,63.8325,63.0175,63.8175,1155671000
USD000000TOD,D,200203,000000,63.955,64.0925,63.5925,63.7275,858023000
USD000000TOD,D,200204,000000,63.605,63.605,63.08,63.22,775553000
USD000000TOD,D,200205,000000,63.16,63.2825,62.54,62.75,901959000
USD000000TOD,D,200206,000000,62.87,63.3975,62.715,63.3525,801222000
USD000000TOD,D,200207,000000,63.2625,64.1825,63.2075,64.165,920006000
USD000000TOD,D,200210,000000,63.93,64.2925,63.6425,64.18,623721000
USD000000TOD,D,200211,000000,63.86,64.1125,63.325,63.3825,599108000
USD000000TOD,D,200212,000000,63.25,63.25,62.9,63.12,764688000
USD000000TOD,D,200213,000000,63.52,63.7825,63.3975,63.4475,837550000
USD000000TOD,D,200214,000000,63.58,63.61,63.36,63.4425,562858000
USD000000TOD,D,200218,000000,63.6125,63.87,63.6075,63.69,619347000
USD000000TOD,D,200219,000000,63.9,63.9,63.45,63.6475,470390000
USD000000TOD,D,200220,000000,63.74,63.985,63.6475,63.9025,698557000
USD000000TOD,D,200221,000000,64.1425,64.54,64,64.5,910618000
USD000000TOD,D,200225,000000,65.55,65.5975,64.66,65.235,951566000
USD000000TOD,D,200226,000000,65.5,65.71,65.2925,65.3175,1065476000
USD000000TOD,D,200227,000000,65.65,66.23,65.4225,66.1,951744000
USD000000TOD,D,200228,000000,66.735,67.62,66.5375,67.17,1797695000
USD000000TOD,D,200302,000000,66.6,67.325,66.0925,67.0675,1298355000
USD000000TOD,D,200303,000000,66.45,66.66,66.1825,66.415,1058513000
USD000000TOD,D,200304,000000,65.955,66.2,65.505,66.075,987900000
USD000000TOD,D,200305,000000,66.07,66.88,66.0225,66.7825,862159000
USD000000TOD,D,200306,000000,67.6,68.3875,67.295,68.13,1057368000
USD000000TOD,D,200310,000000,72.225,72.985,66,71.88,1491058000
USD000000TOD,D,200311,000000,71.495,72.08,71.1225,72.05,976857000
USD000000TOD,D,200312,000000,73.72,75.48,73.62,75.05,1448920000
USD000000TOD,D,200313,000000,73.995,74.4325,72.03,72.7725,855949000
USD000000TOD,D,200316,000000,73.21,75.44,73.21,74.375,1195254000
USD000000TOD,D,200317,000000,74.15,75.2675,73.425,75.05,947875000
USD000000TOD,D,200318,000000,75.975,79.945,75.9,79.53,1259608000
USD000000TOD,D,200319,000000,80.455,81.98,79.25,80.315,1346675000
USD000000TOD,D,200320,000000,78.2,79.85,77.3725,79.0375,1110389000
USD000000TOD,D,200323,000000,80.21,81.9,79.4025,79.75,799988000
USD000000TOD,D,200324,000000,78.5,79.185,78.135,78.455,863511000
USD000000TOD,D,200325,000000,78.18,79.295,76.965,79.15,1050696000
USD000000TOD,D,200326,000000,78.5575,79.07,77.28,77.28,901357000
USD000000TOD,D,200327,000000,77.7625,79.26,77.57,79.215,1115386000
USD000000TOD,D,200330,000000,80,80.8,79.0925,79.7,717610000
USD000000TOD,D,200331,000000,79.41,79.41,77.975,78.3575,807438000
USD000000TOD,D,200401,000000,78.73,79.3675,78.5025,78.98,552086000
USD000000TOD,D,200402,000000,77.49,79.2325,77.09,77.7,736093000
USD000000TOD,D,200403,000000,77.64,77.69,76.5125,76.97,803139000
USD000000TOD,D,200406,000000,76.79,76.88,76.05,76.1675,687531000
USD000000TOD,D,200407,000000,75.465,75.92,75.185,75.5675,683765000
USD000000TOD,D,200408,000000,75.625,75.89,75.26,75.3975,571234000
USD000000TOD,D,200409,000000,75.0125,75.0125,72.605,73.2075,929862000
USD000000TOD,D,200410,000000,74.15,74.365,73.1325,73.4675,696622000
USD000000TOD,D,200413,000000,73.335,73.795,73.315,73.58,723883000
USD000000TOD,D,200414,000000,73.3725,73.5025,72.7225,72.785,465656000
USD000000TOD,D,200415,000000,73.475,74.975,73.4025,74.745,782882000
USD000000TOD,D,200416,000000,74.5,75.04,73.73,74.12,612336000
USD000000TOD,D,200417,000000,73.605,74.3825,73.485,74.27,755032000
USD000000TOD,D,200420,000000,74.805,75.065,74.1525,74.4425,790608000
USD000000TOD,D,200421,000000,75.6,77.35,75.6,76.88,1227129000
USD000000TOD,D,200422,000000,77.3325,77.59,75.795,76.01,752365000
USD000000TOD,D,200423,000000,75.3025,75.4,74.2325,74.38,843132000
USD000000TOD,D,200424,000000,74.81,74.87,73.9325,74.47,757221000
USD000000TOD,D,200427,000000,74.47,74.6925,74.025,74.405,1036717000
USD000000TOD,D,200428,000000,74.95,75.01,73.76,74.1675,795863000
USD000000TOD,D,200429,000000,73.795,73.825,73.2325,73.3,692387000
USD000000TOD,D,200430,000000,72.76,74.0675,72.5525,73.935,986849000
USD000000TOD,D,200506,000000,73.38,75,73.32,74.5025,1117833000
USD000000TOD,D,200507,000000,74.4,74.5,73.58,73.8875,623162000
USD000000TOD,D,200508,000000,73.7775,74.0825,73.17,73.24,614385000
USD000000TOD,D,200512,000000,73.7,73.7,72.96,73.1175,621897000
USD000000TOD,D,200513,000000,73.5125,73.685,73.08,73.435,499749000
USD000000TOD,D,200514,000000,73.95,74.485,73.64,74.07,724037000
USD000000TOD,D,200515,000000,73.4325,73.8475,72.985,73.53,736047000
USD000000TOD,D,200518,000000,73.3,73.31,72.56,72.7825,673548000
USD000000TOD,D,200519,000000,72.5,72.725,72.1975,72.4025,776037000
USD000000TOD,D,200520,000000,72.53,72.58,71.4075,71.41,734979000
USD000000TOD,D,200521,000000,71.15,71.2125,70.5875,70.855,945982000
USD000000TOD,D,200522,000000,71.62,72.0725,71.3,71.7525,876858000
USD000000TOD,D,200526,000000,71.26,71.3,70.62,70.62,710223000
USD000000TOD,D,200527,000000,71.0675,71.475,70.785,71.2825,715490000
USD000000TOD,D,200528,000000,71.02,71.2,70.61,70.69,592643000
USD000000TOD,D,200529,000000,70.495,70.825,70.3775,70.6,713540000
USD000000TOD,D,200601,000000,69.9,69.97,69.3875,69.505,751384000
USD000000TOD,D,200602,000000,69.02,69.1375,68.57,68.7025,657462000
USD000000TOD,D,200603,000000,68.5,68.9325,68.2075,68.7375,889049000
USD000000TOD,D,200604,000000,68.93,69.545,68.8075,69.14,744593000
USD000000TOD,D,200605,000000,68.81,68.9,68.24,68.41,798510000
USD000000TOD,D,200608,000000,68.4175,68.62,68.03,68.53,654194000
USD000000TOD,D,200609,000000,68.5025,68.94,68.3925,68.5725,768323000
USD000000TOD,D,200610,000000,68.5925,68.93,68.43,68.76,734756000
USD000000TOD,D,200611,000000,68.98,69.5175,68.7725,69.345,833474000
USD000000TOD,D,200615,000000,70.49,70.95,70.0125,70.2175,985167000
USD000000TOD,D,200616,000000,69.74,69.9275,69.1725,69.4875,700582000
USD000000TOD,D,200617,000000,69.455,69.88,69.3625,69.65,601937000
USD000000TOD,D,200618,000000,69.65,69.7125,69.15,69.62,669876000
USD000000TOD,D,200619,000000,69.505,69.6575,69.155,69.46,602341000
USD000000TOD,D,200622,000000,69.5325,69.59,69.12,69.2275,526792000
USD000000TOD,D,200623,000000,69.02,69.04,68.5625,68.6,755979000
USD000000TOD,D,200625,000000,69.655,69.75,69.145,69.2125,809120000
USD000000TOD,D,200626,000000,69.0825,69.89,69.03,69.875,834107000
USD000000TOD,D,200629,000000,69.79,70.4375,69.585,70.125,866538000
USD000000TOD,D,200630,000000,70.2,71.32,70.1525,71.2325,1087462000
USD000000TOD,D,200702,000000,70.9825,70.9825,69.5525,70.3375,635749000
USD000000TOD,D,200703,000000,70.3,71.55,70.28,71.445,719638000
USD000000TOD,D,200706,000000,70.9225,72.1,70.7875,71.61,796982000
USD000000TOD,D,200707,000000,71.9525,72.3,71.2275,71.325,804297000
USD000000TOD,D,200708,000000,71.49,71.56,71.03,71.28,632081000
USD000000TOD,D,200709,000000,71.02,71.07,70.49,70.8875,630628000
USD000000TOD,D,200710,000000,71.1825,71.42,70.6275,70.6675,592120000
USD000000TOD,D,200713,000000,70.5975,71.02,70.5,70.605,477444000
USD000000TOD,D,200714,000000,70.9,71.335,70.8275,71.1225,594374000
USD000000TOD,D,200715,000000,70.7525,71.1075,70.65,70.9,574177000
USD000000TOD,D,200716,000000,71.265,71.52,71.05,71.14,483183000
USD000000TOD,D,200717,000000,71.6575,71.93,71.5375,71.845,617196000
USD000000TOD,D,200720,000000,71.8425,72.135,71.3175,71.4775,561489000
USD000000TOD,D,200721,000000,71.1025,71.1375,70.6625,70.7875,640877000
USD000000TOD,D,200722,000000,70.7675,70.98,70.5925,70.8875,608391000
USD000000TOD,D,200723,000000,70.96,71.62,70.815,71.36,628089000
USD000000TOD,D,200724,000000,71.545,71.9825,71.32,71.7675,1205787000
USD000000TOD,D,200727,000000,71.51,71.9325,71.4225,71.65,460686000
USD000000TOD,D,200728,000000,71.785,72.6425,71.6125,72.58,709607000
USD000000TOD,D,200729,000000,72.5275,72.585,72.06,72.495,614011000
USD000000TOD,D,200730,000000,73.1,73.78,73.0525,73.685,745224000
USD000000TOD,D,200731,000000,73.34,74.1775,73.2625,74.12,723627000
USD000000TOD,D,200803,000000,74.4,74.61,73.475,73.57,644774000
USD000000TOD,D,200804,000000,73.0675,74.025,72.92,73.5775,526257000
USD000000TOD,D,200805,000000,73.2025,73.4825,72.71,72.92,669117000
USD000000TOD,D,200806,000000,72.92,73.6075,72.665,73.52,523263000
USD000000TOD,D,200807,000000,73.61,73.905,73.3,73.6325,598066000
USD000000TOD,D,200810,000000,73.8,73.9975,73.34,73.4725,437674000
USD000000TOD,D,200811,000000,73.5,73.565,72.6875,73.01,502560000
USD000000TOD,D,200812,000000,73.205,73.82,73,73.65,551097000
USD000000TOD,D,200813,000000,73.45,73.77,73.0725,73.2125,488774000
USD000000TOD,D,200814,000000,72.9,73.4625,72.88,72.89,553903000
USD000000TOD,D,200817,000000,72.99,73.7975,72.7675,73.6225,716560000
USD000000TOD,D,200818,000000,73.56,73.7,72.9325,73.2125,607059000
USD000000TOD,D,200819,000000,73.16,73.5875,73.0375,73.15,507484000
USD000000TOD,D,200820,000000,73.39,74.05,73.315,74.045,843072000
USD000000TOD,D,200821,000000,73.79,74.99,73.6425,74.755,877729000
USD000000TOD,D,200824,000000,74.525,74.58,74.155,74.47,648028000
USD000000TOD,D,200825,000000,74.4625,75.1525,74.315,75.0475,601373000
USD000000TOD,D,200826,000000,75.4125,75.995,75.34,75.5625,703175000
USD000000TOD,D,200827,000000,75.52,75.5325,74.72,75.14,934334000
USD000000TOD,D,200828,000000,74.5525,74.77,74.215,74.3,810136000
USD000000TOD,D,200831,000000,74.1,74.2975,73.6,74.185,678948000
USD000000TOD,D,200901,000000,73.6775,73.81,73.385,73.415,754528000
USD000000TOD,D,200902,000000,73.74,75.48,73.6225,75.42,746325000
USD000000TOD,D,200903,000000,75.425,75.84,74.8675,75.17,750353000
USD000000TOD,D,200904,000000,75.2025,75.53,74.9025,75.465,656823000
USD000000TOD,D,200908,000000,75.81,76.58,75.71,76.345,937162000
USD000000TOD,D,200909,000000,76.37,76.5225,75.415,75.44,732101000
USD000000TOD,D,200910,000000,75.3,75.6725,74.6625,74.9525,818686000
USD000000TOD,D,200911,000000,75.19,75.19,74.72,74.95,765709000
USD000000TOD,D,200914,000000,74.85,75.5275,74.5625,75.22,544477000
USD000000TOD,D,200915,000000,74.95,75.3725,74.8825,75.1325,817899000
USD000000TOD,D,200916,000000,74.9875,75.1,74.5125,74.9975,605989000
USD000000TOD,D,200917,000000,75.23,75.4425,74.9175,75.19,672973000
USD000000TOD,D,200918,000000,75,75.68,74.915,75.4825,779486000
USD000000TOD,D,200921,000000,75.5,76.5475,75.5,76.41,824143000
USD000000TOD,D,200922,000000,76.38,76.47,75.715,76.2,960275000
USD000000TOD,D,200923,000000,76.24,77.1,76.16,76.8125,786589000
USD000000TOD,D,200924,000000,77.22,77.4875,76.9,77.36,956152000
USD000000TOD,D,200925,000000,76.6625,78.48,76.625,78.345,1325676000
USD000000TOD,D,200928,000000,78.08,79.19,78,79.075,964149000
USD000000TOD,D,200929,000000,79.2,79.965,78.4575,79.1925,987209000
USD000000TOD,D,200930,000000,79.3225,79.3825,77.6625,77.8,807033000
USD000000TOD,D,201001,000000,77.3,77.8,77.01,77.4325,615250000
USD000000TOD,D,201002,000000,77.8,78.795,77.685,78.45,912255000
USD000000TOD,D,201005,000000,78,78.875,77.8175,78.29,738181000
USD000000TOD,D,201006,000000,78.19,78.665,77.61,78.05,635480000
USD000000TOD,D,201007,000000,78.185,78.475,77.94,78.1875,557040000
