,name,price,supply,link
0," AGU (AUE), 10 A , 250 В, 10x38 мм, Предохранитель",84,1808 шт.,/product/agu-aue-10a-10x38
1," AGU (AUE), 20 A , 250 В, 10x38 мм, Предохранитель",58,4458 шт.,/product/agu-aue-20a-10x38
2," AGU (AUE), 30 A , 250 В, 10x38 мм, Предохранитель",98,867 шт.,/product/agu-aue-30a-10x38
3," AGU (AUE), 40 А, 250 В, 10x38 мм, Предохранитель",98,815 шт.,/product/agu-aue-40a-10x38
4," AGU (AUE), 50 A , 250 В, 10x38 мм, Предохранитель",98,654 шт.,/product/agu-aue-50a-10x38
5," AGU (AUE), 60 А, 250 В, 10x38 мм, Предохранитель",98,284 шт.,/product/agu-aue-60a-10x38
6," AGU (AUE), 70 A , 250 В, 10x38 мм, Предохранитель",89,310 шт.,/product/agu-aue-70a-10x38
7," H520 (ZH214), 0.05 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",65,1157 шт.,/product/h520-zh214-0.05
8," H520 (ZH214), 0.1 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,28040 шт.,/product/h520-0.1a
9," H520 (ZH214), 0.25 А, 250В (ВПБ6-2), 5х20 мм, Предохранитель стеклянный ...",15,13225 шт.,/product/h520-0.25a
10," H520 (ZH214), 0.5 А, 250В (ВПБ6-5), 5х20 мм, Предохранитель стеклянный ...",15,23686 шт.,/product/h520-0.5a
11," H520 (ZH214), 0.63 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,11564 шт.,/product/h520-0.63a
12," H520 (ZH214), 1 А, 250В (ВПБ6-7), 5х20 мм, Предохранитель стеклянный ...",10,1552 шт.,/product/h520-1a
13," H520 (ZH214), 1.6 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,12973 шт.,/product/h520-1.6a
14," H520 (ZH214), 2 А, 250В (ВПБ6-10), 5х20 мм, Предохранитель стеклянный ...",15,18735 шт.,/product/h520-2a
15," H520 (ZH214), 3 А, 250В (ВПБ6-11), 5х20 мм, Предохранитель стеклянный ...",15,2884 шт.,/product/h520-3a
16," H520 (ZH214), 3.15 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,31320 шт.,/product/h520-3.15a
17," H520 (ZH214), 4 А, 250В (ВПБ6-12), 5х20 мм, Предохранитель стеклянный ...",15,18589 шт.,/product/h520-4a
18," H520 (ZH214), 5 А, 250В (ВПБ6-13), 5х20 мм, Предохранитель стеклянный ...",15,9022 шт.,/product/h520-5a
19," H520 (ZH214), 6 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,544 шт.,/product/h520-6a
20," H520 (ZH214), 6.3 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,16412 шт.,/product/h520-6.3
21," H520 (ZH214), 8 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,20913 шт.,/product/h520-8
22," H520 (ZH214), 10 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,19999 шт.,/product/h520-10a
23," H520 (ZH214), 15 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,8569 шт.,/product/h520-15a
24," H520 (ZH214), 20 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",15,5633 шт.,/product/h520-20
25," H520 (ZH214), 30 А, 250В, 5х20 мм, Предохранитель стеклянный быстродействующий",10,3585 шт.,/product/h520-zh214-30-a-250v-5x20-mm
26," H520PT, 0.25 А, 250 В, Предохранитель выводной",14,13970 шт.,/product/h520pt-0.25a
