,name,price,supply,link
0," Предохранитель 5x20, ток 3,0А, стекло, KF-0360B[ВПБ6]",32,32 шт.,/product0/8010256332
1," Предохранитель 5x20, ток 3,15 А, стекло, KF-0360B[ВПБ6-11]",32,330 шт.,/product0/8010255659
2," Предохранитель 5x20, ток 30 А, стекло, KF-0360B[ВПБ6]",48,78 шт.,/product0/8010255778
3," Предохранитель 5x20, ток 4,0 А, стекло",40,24 шт.,/product0/8010256577
4," Предохранитель 5x20, ток 4,0А, стекло, KF-0360B[ВПБ6-12]",32,208 шт.,/product0/8010255758
5," Предохранитель 5x20, ток 4,0А, стекло, ВПБ6-12, быстродействующий",64,40 шт.,/product0/8010255766
6," Предохранитель 5x20, ток 5,0 А, стекло",40,55 шт.,/product0/8010256029
7," Предохранитель 5x20, ток 5,0А, стекло, KF-0360B[ВПБ6-13]",32,38 шт.,/product0/8010256330
8," Предохранитель 5x20, ток 6,0 А, стекло",40,30 шт.,/product0/8010256507
9," Предохранитель 5x20, ток 6,3 А, стекло, KF-0360B[ВПБ6]",32,238 шт.,/product0/8010256514
10," Предохранитель 5x20, ток 8,0 А, стекло",40,66 шт.,/product0/8010256144
11," Предохранитель 5x20, ток 8,0 А, стекло, KF-0360B[ВПБ6]",32,332 шт.,/product0/8010255858
12," Предохранитель 6,0x30, ток 0,5 А, стекло, KF-0360D",32,36 шт.,/product0/8010256271
13," Предохранитель 6,0x30, ток 1,0 А, стекло, KF-0360D",32,88 шт.,/product0/8010256483
14," Предохранитель 6,0x30, ток 10 А, стекло, KF-0360D",40,103 шт.,/product0/8010567020
15," Предохранитель 6,0x30, ток 12 А, стекло, KF-0360D",48,61 шт.,/product0/8018897069
16," Предохранитель 6,0x30, ток 13 А, стекло, KF-0360D",48,92 шт.,/product0/8010255904
17," Предохранитель 6,0x30, ток 15 А, стекло, KF-0360D",48,295 шт.,/product0/8010567022
18," Предохранитель 6,0x30, ток 16 А, стекло, KF-0360D",48,172 шт.,/product0/8010256089
19," Предохранитель 6,0x30, ток 2,0 А, стекло, ПЦ-30",40,20 шт.,/product0/8010255890
20," Предохранитель 6,0x30, ток 2,0А, стекло, KF-0360D",32,46 шт.,/product0/8010255842
21," Предохранитель 6,0x30, ток 20 А, стекло, KF-0360D",48,95 шт.,/product0/8010256484
22," Предохранитель 6,0x30, ток 25 А, керамика, KF-0460D",110,106 шт.,/product0/8010256067
23," Предохранитель 6,0x30, ток 25 А, стекло, KF-0360D",48,101 шт.,/product0/8010256028
24," Предохранитель 6,0x30, ток 3,0 А, стекло, KF-0360D",32,4 шт.,/product0/8010567021
25," Предохранитель 6,0x30, ток 3,0 А, стекло, ПЦ-30",40,1 шт.,/product0/8010255889
26," Предохранитель 6,0x30, ток 4,0 А, стекло, KF-0360D",32,131 шт.,/product0/8010256395
27," Предохранитель 6,0x30, ток 6,0 А, стекло",40,15 шт.,/product0/8010255681
28," Предохранитель 6,3x32, ток 0,16А, стекло, ВПТ6-14",40,2 шт.,/product0/8010255893
29," Предохранитель 6,3x32, ток 0,25 А, стекло, ВПТ6-15",40,9 шт.,/product0/8010255864
30," Предохранитель 6,3x32, ток 0,5 А, стекло, ВПТ6-18",40,62 шт.,/product0/8010255879
31," Предохранитель 6,5x40, ток 0,6 А, стекло, [СВЧ печь]",160,34 шт.,/product0/8010256517
32," Предохранитель 6,5x40, ток 0,75 А, стекло, [СВЧ печь]",210,101 шт.,/product0/8010256540
33," Предохранитель 6,5x40, ток 0,7А, напряжение 5кВ, стекло, [СВЧ печь]",210,32 шт.,/product0/8010255849
34," Предохранитель 6,5x40, ток 0,8 А, стекло, [СВЧ печь]",160,55 шт.,/product0/8010256108
35," Предохранитель 6,5x40, ток 0,9 А, стекло, номинальное напряжение 5к В, [СВЧ печь]",160,54 шт.,/product0/8010255627
