id,name,area_name,salary_from,salary_to,salary_gross,salary_currency,employer_name,knn_anomaly,iforest_anomaly,autoencoder_anomaly
111775064,Старший юрист,Москва,250000.0,350000.0,True,RUR,НТехЛаб,0,1,0
107634517,"C# developer junior / middle (.net, full-stack / back-end)",Москва,100000.0,300000.0,False,RUR,Mindbox,1,0,0
111771541,Верстальщик/Frontend-разработчик,Москва,60000.0,130000.0,False,RUR,Фарватер,0,0,0
110883330,Python разработчик (Django),Москва,50000.0,90000.0,False,RUR,Hammer Systems,0,0,0
112046567,Главный специалист по планированию и управлению товарными запасами,Москва,250000.0,270000.0,False,RUR,СИРИУС,0,0,0
112070550,Vue Frontend-разработчик,Москва,50000.0,220000.0,False,RUR,AVS Consulting,1,0,0
110958893,Frontend-разработчик,Москва,50000.0,220000.0,False,RUR,AVS Consulting,1,0,0
111437020,Middle frontend developer (react),Москва,100000.0,160000.0,False,RUR,Фабрика Решений,0,0,0
111817501,Руководитель юридического блока,Москва,250000.0,500000.0,False,RUR,RecruitTech,1,0,0
111939254,TeamLead / TeachLead Руководитель отдела разработки,Москва,500000.0,1500000.0,False,RUR,VPNM (Тихонов Денис Олегович),1,1,0
112089341,Руководитель отдела маркетинга и рекламы,Москва,200000.0,300000.0,False,RUR,САМОЛЕТ КОНСАЛТИНГ,0,0,0
111345990,Начинающий программист (junior),Москва,70000.0,130000.0,True,RUR,Омега,0,0,0
111961397,Frontend Developer (Vue.JS),Москва,150000.0,250000.0,False,RUR,AlfaBit,0,0,0
111777093,Курьер,Москва,50000.0,60000.0,False,RUR,НТехЛаб,0,0,0
112057928,Entry-level specialist with knowledge of English (Moscow),Москва,800.0,2000.0,False,USD,Индгроз Сервис,0,0,1
112281223,ML engineer (middle-senior),Москва,500000.0,700000.0,False,RUR,Лопатин Владимир Андреевич,1,1,0
112006105,Junior QA Manual specialist (Ручное тестирование),Москва,40000.0,80000.0,False,RUR,Oxytocin,0,0,0
112237717,Frontend-разработчик ReactJS,Москва,80000.0,140000.0,False,RUR,"Юнити,ООО",0,0,0
110636615,Младший специалист по тестированию (Junior QA),Москва,80000.0,80000.0,True,RUR,Электронная торговая площадка Газпромбанка,0,0,0
111807231,Тестировщик / QA Engineer (Middle) (Удаленно),Москва,2100.0,2300.0,False,USD,Superduper,0,0,1
111981370,Python-разработчик,Москва,100000.0,150000.0,False,RUR,ГК МФМК,0,0,0
112031656,Ведущий бухгалтер,Москва,165000.0,165000.0,True,RUR,РТ-ТехСервис,0,0,0
111207656,Специалист технической поддержки,Москва,50000.0,70000.0,False,RUR,Артвелл,0,0,0
110600404,Системный аналитик,Москва,60000.0,90000.0,False,RUR,Фьюче,0,0,0
